Datetime,Predicted Temperature (°C)
2026-08-02 01:29:41.941481,26.893947913899908
2026-08-02 02:29:41.941481,26.307872621708974
2026-08-02 03:29:41.941481,25.79479295370262
2026-08-02 04:29:41.941481,25.265559155930244
2026-08-02 05:29:41.941481,24.722244839727864
2026-08-02 06:29:41.941481,24.263189526887537
2026-08-02 07:29:41.941481,23.986042538535532
2026-08-02 08:29:41.941481,23.948463687922874
2026-08-02 09:29:41.941481,24.22451740125258
2026-08-02 10:29:41.941481,24.502752885089063
2026-08-02 11:29:41.941481,24.55820118848686
2026-08-02 12:29:41.941481,24.49367742786056
2026-08-02 13:29:41.941481,24.37044731221966
2026-08-02 14:29:41.941481,24.244397800322258
2026-08-02 15:29:41.941481,24.117170397881075
2026-08-02 16:29:41.941481,23.98700588093698
2026-08-02 17:29:41.941481,23.84139000330694
2026-08-02 18:29:41.941481,23.650534915071535
2026-08-02 19:29:41.941481,23.475605600906103
2026-08-02 20:29:41.941481,23.320788227864938
2026-08-02 21:29:41.941481,23.190926414983043
2026-08-02 22:29:41.941481,23.089640927692102
2026-08-02 23:29:41.941481,23.013532275459692
2026-08-03 00:29:41.941481,22.92975830667683
