loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
0.9642378687858582,0.8302879929542542,0.9819561243057251,1.1872309446334839,0.9462440609931946,1.0896012783050537,0.0010000000474974513
0.8077948689460754,0.7472882270812988,0.8987740874290466,0.25895386934280396,0.4041804373264313,0.5088751316070557,0.0010000000474974513
0.21772748231887817,0.36228641867637634,0.4666127860546112,0.15775485336780548,0.3131575882434845,0.3971836566925049,0.0010000000474974513
0.15788505971431732,0.3059728145599365,0.3973475396633148,0.12130840122699738,0.2670581042766571,0.3482935428619385,0.0010000000474974513
0.1388980895280838,0.2850276529788971,0.372690349817276,0.1358935534954071,0.2950386106967926,0.36863744258880615,0.0010000000474974513
0.12746453285217285,0.2728579640388489,0.3570217490196228,0.09295807033777237,0.2319309413433075,0.3048902451992035,0.0010000000474974513
0.11776319146156311,0.26130878925323486,0.34316641092300415,0.11776787042617798,0.26644229888916016,0.34317323565483093,0.0010000000474974513
0.11545440554618835,0.259177029132843,0.3397858142852783,0.09255111962556839,0.23053155839443207,0.3042221665382385,0.0010000000474974513
0.11296679824590683,0.2560237944126129,0.3361053466796875,0.11260087788105011,0.2612903118133545,0.33556053042411804,0.0010000000474974513
0.11270059645175934,0.2551017701625824,0.3357090950012207,0.09505098313093185,0.2442232072353363,0.3083033859729767,0.0010000000474974513
0.10841803252696991,0.2504352331161499,0.3292689323425293,0.08277881145477295,0.22184477746486664,0.28771308064460754,0.0010000000474974513
0.10578293353319168,0.2464723289012909,0.32524287700653076,0.0821247473359108,0.22342035174369812,0.2865741550922394,0.0010000000474974513
0.10167928040027618,0.24224162101745605,0.3188718855381012,0.09805188328027725,0.25247180461883545,0.3131323754787445,0.0010000000474974513
0.10226258635520935,0.24079352617263794,0.3197852075099945,0.0845644623041153,0.22984635829925537,0.29079970717430115,0.0010000000474974513
0.09779534488916397,0.2371043562889099,0.31272247433662415,0.07065273821353912,0.2041279822587967,0.26580584049224854,0.0010000000474974513
0.09314798563718796,0.23003064095973969,0.30520156025886536,0.08248088508844376,0.22978302836418152,0.2871948480606079,0.0010000000474974513
0.09414718300104141,0.23200440406799316,0.3068341314792633,0.09315678477287292,0.24769233167171478,0.3052159547805786,0.0010000000474974513
0.09242933243513107,0.22998188436031342,0.3040219247341156,0.09049715101718903,0.24043534696102142,0.3008274435997009,0.0010000000474974513
0.09093929827213287,0.2271941900253296,0.3015614449977875,0.08348117768764496,0.23116159439086914,0.28893110156059265,0.0010000000474974513
0.08977223932743073,0.22634398937225342,0.2996201515197754,0.07444880902767181,0.21084152162075043,0.2728530764579773,0.0010000000474974513
0.08383357524871826,0.21764138340950012,0.28954029083251953,0.07820417732000351,0.22013017535209656,0.27965009212493896,0.0005000000237487257
0.08329877257347107,0.2168434113264084,0.28861525654792786,0.07399974763393402,0.21673429012298584,0.27202895283699036,0.0005000000237487257
0.08355093002319336,0.2173765003681183,0.28905177116394043,0.07927033305168152,0.22529840469360352,0.281549870967865,0.0005000000237487257
0.0823870450258255,0.21621064841747284,0.2870314419269562,0.08594018965959549,0.23561932146549225,0.29315558075904846,0.0005000000237487257
0.08261922746896744,0.2170860916376114,0.2874355912208557,0.08695622533559799,0.23821915686130524,0.2948834002017975,0.0005000000237487257
0.07947174459695816,0.21114231646060944,0.281907320022583,0.06988517940044403,0.2081959992647171,0.2643580436706543,0.0002500000118743628
0.07803639024496078,0.20934443175792694,0.2793499529361725,0.06476473063230515,0.19920094311237335,0.25448915362358093,0.0002500000118743628
0.0772973969578743,0.2087388038635254,0.2780241072177887,0.06544873118400574,0.20041657984256744,0.25582948327064514,0.0002500000118743628
0.0765916034579277,0.20781473815441132,0.27675187587738037,0.07552739977836609,0.2208023965358734,0.274822473526001,0.0002500000118743628
0.07633812725543976,0.2080562263727188,0.27629354596138,0.06791551411151886,0.20682336390018463,0.260606050491333,0.0002500000118743628
0.07709565758705139,0.20819266140460968,0.2776610553264618,0.07707472890615463,0.22239083051681519,0.27762335538864136,0.0002500000118743628
0.07583379000425339,0.20574240386486053,0.27537935972213745,0.0747070237994194,0.21862825751304626,0.2733258605003357,0.0002500000118743628
0.07573197782039642,0.2070269137620926,0.2751944363117218,0.06385132670402527,0.19780610501766205,0.2526881992816925,0.0001250000059371814
0.07448031008243561,0.20373664796352386,0.27291080355644226,0.06791149079799652,0.20676244795322418,0.2605983316898346,0.0001250000059371814
0.07384742796421051,0.20340415835380554,0.2717488408088684,0.06816290318965912,0.20757722854614258,0.261080265045166,0.0001250000059371814
0.07421741634607315,0.20434364676475525,0.2724287509918213,0.06618985533714294,0.20247730612754822,0.2572738826274872,0.0001250000059371814
0.07372687011957169,0.20289482176303864,0.27152693271636963,0.0718715637922287,0.21314629912376404,0.2680887281894684,0.0001250000059371814
0.07341822236776352,0.20291206240653992,0.27095797657966614,0.0661846399307251,0.20273874700069427,0.25726374983787537,0.0001250000059371814
0.07177542895078659,0.2008572369813919,0.26790937781333923,0.06665496528148651,0.2037380039691925,0.2581762373447418,6.25000029685907e-05
0.07349810004234314,0.20206379890441895,0.2711053192615509,0.06396036595106125,0.19842444360256195,0.25290387868881226,6.25000029685907e-05
0.07260604947805405,0.20153531432151794,0.26945510506629944,0.06282473355531693,0.1946732997894287,0.2506486177444458,6.25000029685907e-05
